date,id,deptime,arrtime,price,direction
2023-08-28,2,15:40,16:40,78700,go
2023-08-28,5,15:40,16:40,80700,go
2023-08-28,1,16:00,17:05,73700,go
2023-08-28,1,16:00,17:05,88700,go
2023-08-28,2,16:40,17:40,74740,go
2023-08-28,2,16:40,17:40,78700,go
2023-08-28,5,16:40,17:40,80700,go
2023-08-28,1,17:20,18:25,73700,go
2023-08-28,1,17:20,18:25,88700,go
2023-08-28,3,18:20,19:20,75700,go
2023-08-28,3,18:20,19:20,77100,go
2023-08-28,2,19:00,20:00,54940,go
2023-08-28,2,19:00,20:00,78700,go
2023-08-28,5,19:00,20:00,80700,go
2023-08-28,1,19:25,20:35,58700,go
2023-08-28,1,19:25,20:35,88700,go
2023-08-28,4,19:40,20:40,48800,go
2023-08-28,4,19:40,20:40,78700,go
2023-08-28,0,19:45,20:45,52600,go
2023-08-28,0,19:45,20:45,78700,go
2023-08-28,4,20:05,21:05,52600,go
2023-08-28,4,20:05,21:05,78700,go
2023-08-28,2,20:20,21:35,56260,go
2023-08-28,2,20:20,21:35,78700,go
2023-08-28,5,20:20,21:35,80700,go
2023-08-29,0,06:20,07:20,44100,go
2023-08-29,0,06:20,07:20,78700,go
2023-08-29,1,07:00,08:05,44700,go
2023-08-29,1,07:00,08:05,58700,go
2023-08-29,1,07:00,08:05,88700,go
2023-08-29,2,07:20,08:25,43060,go
2023-08-29,2,07:20,08:25,78700,go
2023-08-29,5,07:20,08:25,80700,go
2023-08-29,1,08:05,09:10,73700,go
2023-08-29,1,08:05,09:10,88700,go
2023-08-29,3,08:30,09:30,77100,go
2023-08-29,2,08:40,09:40,71440,go
2023-08-29,2,08:40,09:40,78700,go
2023-08-29,5,08:40,09:40,80700,go
2023-08-29,1,09:00,10:05,73700,go
2023-08-29,1,09:00,10:05,88700,go
2023-08-29,2,09:40,10:40,71440,go
2023-08-29,2,09:40,10:40,78700,go
2023-08-29,5,09:40,10:40,80700,go
2023-08-29,1,10:25,11:30,73700,go
2023-08-29,1,10:25,11:30,88700,go
2023-08-29,2,11:00,12:00,71440,go
2023-08-29,2,11:00,12:00,78700,go
2023-08-29,5,11:00,12:00,80700,go
2023-08-29,3,11:40,12:40,77100,go
2023-08-29,2,12:00,13:05,71440,go
2023-08-29,2,12:00,13:05,78700,go
2023-08-29,5,12:00,13:05,80700,go
2023-08-29,1,12:25,13:30,73700,go
2023-08-29,1,12:25,13:30,88700,go
2023-08-29,2,12:50,13:50,71440,go
2023-08-29,2,12:50,13:50,78700,go
2023-08-29,5,12:50,13:50,80700,go
2023-08-29,1,14:00,15:05,73700,go
2023-08-29,1,14:00,15:05,88700,go
2023-08-29,2,14:20,15:25,71440,go
2023-08-29,2,14:20,15:25,78700,go
2023-08-29,5,14:20,15:25,80700,go
2023-08-29,3,14:50,15:50,77100,go
2023-08-29,2,15:40,16:40,71440,go
2023-08-29,2,15:40,16:40,78700,go
2023-08-29,5,15:40,16:40,80700,go
2023-08-29,1,16:00,17:05,73700,go
2023-08-29,1,16:00,17:05,88700,go
2023-08-29,2,16:40,17:40,71440,go
2023-08-29,2,16:40,17:40,78700,go
2023-08-29,5,16:40,17:40,80700,go
2023-08-29,1,17:20,18:25,73700,go
2023-08-29,1,17:20,18:25,88700,go
2023-08-29,3,18:20,19:20,77100,go
2023-08-29,2,19:00,20:00,49660,go
2023-08-29,2,19:00,20:00,78700,go
2023-08-29,5,19:00,20:00,80700,go
2023-08-29,1,19:25,20:35,50700,go
2023-08-29,1,19:25,20:35,58700,go
2023-08-29,1,19:25,20:35,88700,go
2023-08-29,4,19:40,20:40,46900,go
2023-08-29,4,19:40,20:40,78700,go
2023-08-29,0,19:45,20:45,44100,go
2023-08-29,0,19:45,20:45,78700,go
2023-08-29,4,20:05,21:05,48800,go
2023-08-29,4,20:05,21:05,78700,go
2023-08-29,2,20:20,21:35,49660,go
2023-08-29,2,20:20,21:35,78700,go
2023-08-29,5,20:20,21:35,80700,go
2023-08-30,0,06:20,07:20,44100,go
2023-08-30,0,06:20,07:20,78700,go
2023-08-30,1,07:00,08:05,54700,go
2023-08-30,1,07:00,08:05,58700,go
2023-08-30,1,07:00,08:05,88700,go
2023-08-30,2,07:20,08:25,50980,go
2023-08-30,2,07:20,08:25,78700,go
2023-08-30,5,07:20,08:25,80700,go
2023-08-30,1,08:05,09:10,73700,go
2023-08-30,1,08:05,09:10,88700,go
2023-08-30,3,08:30,09:30,77100,go
2023-08-30,2,08:40,09:40,71440,go
2023-08-30,2,08:40,09:40,78700,go
2023-08-30,5,08:40,09:40,80700,go
2023-08-30,1,09:00,10:05,73700,go
2023-08-30,1,09:00,10:05,88700,go
2023-08-30,2,09:40,10:40,71440,go
2023-08-30,2,09:40,10:40,78700,go
2023-08-30,5,09:40,10:40,80700,go
2023-08-30,1,10:25,11:30,81700,go
2023-08-30,1,10:25,11:30,88700,go
2023-08-30,2,11:00,12:00,72760,go
2023-08-30,2,11:00,12:00,78700,go
2023-08-30,5,11:00,12:00,80700,go
2023-08-30,3,11:40,12:40,77100,go
